Application #,Patent #
"12/038,279","8,395,587"
"09/272,067",6408436
"09/847,143",7046910
"09/027,817",5903133
"09/855,385",7190956
"09/745,141",6778512
"08/665,178",5794185
"09/235,081",6592696
"11/870,430","8,078,203"
"12/534,213",8229428
"11/286,497",7555696
"08/942,211",5946653
"10/755,429",7675970
"13/246,883",8639194
"11/745,712",8504082
"11/027,206","8,156,560"
"10/692,622","7,373,181"
"10/952,362",7414990
"12/261,483","8,996,018"
"08/589,842",5862451
"11/137,216",7121851
"08/625,116",5812527
"09/389,928",6390355
"11/320,352",7742753
"10/413,060",7263365
"12/689,274","8,279,822"
"09/286,823",6175334
"09/648,955",6466804
"11/558,243",7729357
"10/261,260","7,876,837"
"08/720,984",5910951
"08/946,210",5946346
"08/988,490",6049704
"12/726,437","8,878,996"
"09/678,056",6970926
"10/003,153",6836676
"10/002,727",6983160
"10/017,811",6999921
"08/867,501",6084782
"12/712,191","8,509,102"
"13/205,655","8,948,061"
"08/554,990",5781226
"10/226,688",6898420
"10/067,446",7231663
"11/025,324",7787562
"10/211,737",7007203
"09/373,652",6229794
"13/682,765","9,008,728"
"11/616,074",7826409
"08/736,383",5886736
"09/660,112",6947180
"11/168,950","7,330,155"
"09/967,239",6563427
"11/838,517","8,140,102"
"11/560,309",8166518
"12/343,466","8,391,895"
"08/843,482",6081733
"13/279,656","8,953,943"
"12/246,628","8,964,690"
"12/534,959",7921553
"10/284,927",6925128
"08/921,884",6784786
"11/739,868","8,140,439"
"09/332,265",6567663
"10/025,521",7072309
"09/032,815",6063521
"12/347,294",8238960
"10/444,763",6917675
"10/114,898",7058609
"11/761,692",7480427
"08/829,271",5848357
"09/050,283","6,226,317"
"09/238,956",6798789
"09/627,170",6958990
"11/838,061",8077154
"10/913,454","7,426,194"
"09/393,800",6498667
"09/753,833",6421602
"09/218,324","6,366,302"
"09/136,238","6,081,719"
"13/031,744",8761278
"09/621,147",6510142
"11/531,774",7941181
"08/580,871",5940746
"12/172,462","7,848,221"
"10/964,385",7211721
"08/877,845",6009552
"10/227,116","6,765,888"
"10/037,956","6,842,621"
"09/025,807",6157313
"12/210,359",8037011
"11/286,800",7239867
"08/766,447",5926501
"11/648,249",7983426
"11/342,512",7590128
"12/345,741",8687806
"10/268,292",6943777
"09/546,021","6,363,249"
"11/149,875","7,821,975"
"11/618,126",7453406
"09/499,209",6438109
"11/426,744",7925278
"12/646,199","8,788,676"
"11/373,751",8462727
"10/610,500",7266101
"10/449,404",7418040
"10/027,163",7668915
"09/574,707",7003275
"10/693,247","7,333,795"
"11/970,981",7729366
"08/895,186",5946356
"09/995,726",7136644
"09/484,388",6427075
"09/602,512",6857132
"09/311,794",6226283
"08/573,480",5909249
"11/100,185",7584099
"10/796,326","7,257,421"
"13/245,437",9224359
"09/440,526",6442401
"11/696,466","8,761,846"
"09/094,858",6141540
"09/047,022",6169906
"10/329,586","7,415,410"
"10/184,755",6567745
"10/022,944",6597915
"08/735,295",5922047
"10/391,920","6,978,147"
"11/255,113","7,764,793"
"10/967,957",7533018
"08/672,833",6108322
"12/607,439","8,207,875"
"08/708,864",5783969
"09/085,069",6035491
"10/231,828",6926990
"13/172,430","8,775,966"
"10/074,114",6965763
"11/616,357",7769370
"12/756,509","8,310,351"
"09/197,989",6219540
"08/701,294",5812956
"13/099,177","8,478,190"
"09/716,682",6948183
"09/050,632",5956641
"29/478,447","D733,103"
"29/408,124",D666987
"11/856,283","7,667,371"
"11/209,309","7,139,328"
"09/439,026",6345307
"12/542,314","8,774,135"
"09/973,206",7697447
"08/957,479",5905358
"11/421,837","7,676,250"
"10/651,133",7129824
"12/878,702","8,990,338"
